fecha,titulo,genero
2025-11-11 15:56:25,We are the people,Pop
2025-11-11 15:56:26,Skyfall,Pop
2025-11-11 15:56:29,Thriller,Pop
2025-11-11 15:56:31,Little Dark Age,Pop
2025-11-11 15:56:34,Like a tattoo,Pop
2025-11-11 15:56:38,Like a tattoo,Pop
2025-11-11 15:56:41,Thriller,Pop
2025-11-11 15:56:45,Like a tattoo,Pop
