usuario,fecha,titulo,genero
juan,2025-11-15 17:18:53,Hooka,Regueton
juan,2025-11-15 17:19:01,Hooka,Regueton
brayan,2025-11-16 02:42:17,Skyfall,Pop
brayan,2025-11-16 02:42:24,Skyfall,Pop
brayan,2025-11-16 02:42:28,Cancion animal,Rock
brayan,2025-11-16 02:42:37,Cancion animal,Rock
brayan,2025-11-16 02:42:39,Disco Eterno,Rock
brayan,2025-11-16 02:42:41,Corazon Delator,Rock
brayan,2025-11-16 02:42:43,Cancion animal,Rock
juan,2025-11-16 03:18:06,Cancion animal,Rock
juan,2025-11-16 03:18:13,Primavera 0,Rock
juan,2025-11-16 03:18:20,Te para 3,Rock
juan,2025-11-16 03:18:24,We are the people,Pop
juan,2025-11-16 03:18:30,We are the people,Pop
juan,2025-11-16 03:18:37,Disco Eterno,Rock
juan,2025-11-16 03:18:41,Like a tattoo,Pop
juan,2025-11-16 03:18:44,Cancion animal,Rock
juan,2025-11-16 03:18:52,Cancion animal,Rock
admin,2025-11-16 04:27:36,Little Dark Age,Pop
juan,2025-11-16 04:36:48,Thriller,Pop
juan,2025-11-16 04:36:51,Aprovecha,Regueton
juan,2025-11-16 04:37:18,Cancion animal,Rock
juan,2025-11-16 04:37:25,Cancion animal,Rock
nicol,2025-11-18 13:27:47,Like a tattoo,Pop
juan,2025-11-18 14:17:00,Cancion animal,Rock
